RestaurantID,NumberOfReviews,Rating,Cuisine,bestAnswer,score
0vg2Z-HPwkyVVX613j2ysg,261,4.5,chinese,1,0.9867039
AxalkZb61r5Ks7l1yhhIHQ,154,3.5,chinese,1,0.9908842
douRKPVxuo8BEOkMxgVl_w,49,4,chinese,1,0.994672
ynB8T3htx8s5V0YV8gVPGA,357,4,chinese,1,0.9979692
eMmcNV51xPKNGMCqBccPvw,167,4,chinese,1,0.994914
wDRgZ1i7xcJ51xgtfO-fxQ,268,3.5,chinese,1,0.9963511
Qn-qGoIkj-9uApdxb_VTeA,384,3.5,chinese,1,0.9963511
Kqb7MjTPNkjPMoFRd-rWpw,383,4,chinese,1,0.9979692
7ZQSMqWzvXMSetXnii2fBg,349,4,chinese,1,0.9979692
lgS9lE0Y9FhzT68zCj5QCw,166,3.5,chinese,1,0.9908842
BTWWgZrMo_pS_BK-TYO92g,207,4,chinese,1,0.9934642
omOPvWNdukvWOC0peXPyng,145,4,chinese,1,0.994914
w3wKbjuNCZnYoPOr-FCk5w,52,4.5,chinese,1,0.9657447
AvTezlpt3GXTdSEnXbHP4w,314,4,chinese,1,0.9979692
RkcQl4uEJWblWf4xX8ssqQ,366,3.5,chinese,1,0.9963511
wDuf4Qz9qsC62amLZgWNJQ,147,4,chinese,1,0.994914
MdDj13LgIs0WdbIdiyqB7Q,165,4,chinese,1,0.994914
tsHdT1GDibhYYA0JA7Z9tg,268,4,chinese,1,0.9979692
mDajKjZjRN4tVGEJFOgF9w,217,3.5,chinese,1,0.988299
R3UNnA8EbjhNWBHS0wJ0VA,218,3.5,chinese,1,0.988299
l44CFBTejwL0ElKmkH7xQQ,295,4,chinese,1,0.9979692
A-ert0jDRBfku9ogyW_mEg,170,4.5,chinese,1,0.9672576
38KDbZ8yuozUbswBr6OWVA,235,3.5,chinese,1,0.988299
AgTj_2PYIKP519hexQCvCg,283,3.5,chinese,1,0.9963511
Lp8vAE5nHSt5zbu-lSGK8A,235,4,chinese,1,0.9934642
ZiGeqmXH55hVegpqnqoznw,159,3.5,chinese,1,0.9908842
u5-S5ElOzXnavuZ2gFsCpg,155,3.5,chinese,1,0.9908842
PQ2ZlhuTlJpvMUgvsAwtmQ,252,3.5,chinese,1,0.988299
UNyGz06_7RendbswIyNYtA,124,3.5,chinese,1,0.9908842
Qgv2vyUV-DwK8YwrhU-jtw,54,3.5,chinese,1,0.9904522
#NAME?,1616,4.5,chinese,1,0.9992104
XiIBASyS65DX3E_staW0JQ,301,4,chinese,1,0.9979692
hh0W5CPtx2MoyQGb1kAEEA,169,4,chinese,1,0.994914
lSrdxUNxyMgh5YU903JUiw,100,4,chinese,1,0.9939694
KBZQN540Xz6LbXLRVOMc0w,157,3.5,chinese,1,0.9908842
NmJ2xtfZrscfWB_a5wEbXQ,161,3.5,chinese,1,0.9908842
a2sxaQooPmq9r7Cc-Umunw,227,3.5,chinese,1,0.988299
gJXNSJ9VXTuCFmp_Kl9TVQ,65,4,chinese,1,0.9942481
wo7-TKh4B37RTBjPNtkp7w,31,3.5,chinese,1,0.9877205
SBJHGtqJyfaU47NPjGAU6A,67,4,chinese,1,0.9942481
eVDV1ALwvre01Xo8v6BCoQ,85,4,chinese,1,0.9942481
iSjPBJRiWqrgxW7ZM3CGig,155,4,chinese,1,0.994914
9v-JAffC6qw8Xp67BICByQ,389,3.5,chinese,1,0.9963511
x64xHVZoQj1ZOjzPqVprkw,177,4,chinese,1,0.994914
WRPJeH3goSpj5ke3Pkrnfw,140,4,chinese,1,0.994914
ZCAkVl5SeCDeBWg_xjfYeg,56,4.5,chinese,1,0.9657447
UtrW_dBuT5aqxSzx0FUICQ,239,3.5,chinese,1,0.988299
MXstrG3HjF83LcxAd8OpTw,46,4,chinese,1,0.994672
vZgJyMZlpSSS_Y-duxd4_A,216,4,chinese,1,0.9934642
I_Va7AZSHpEwX75S-3hHLQ,118,4,chinese,1,0.9939694
ak9vroilf-vpA_GSNWX2Jg,356,4,chinese,1,0.9979692
_WXa2M3gz2Mi0ys3s88nDw,147,4,chinese,1,0.994914
z4ac0Zdj7wyXqBQRRbQKOQ,165,3.5,chinese,1,0.9908842
AEkpyAGcVe5NgH2Nb7fCNQ,183,3.5,chinese,1,0.988299
lpLd3AFaMOV7LfPtvUiq8A,622,3,chinese,0,0.004019453
bgnM6uy66zupYzb4QdL3vA,84,3.5,chinese,1,0.989696
KSYV3rNYaKWW-AHN4_i-7A,92,3.5,chinese,1,0.9891992
unz_YBwCWg-O5id5rxSyDA,146,3.5,chinese,1,0.9908842
7T7L3GgX_rA88SlCfd0QBw,179,3.5,chinese,1,0.9908842
bcqTacyE-0XDaZYG_xbTBQ,227,4,chinese,1,0.9934642
UiBQ8Uyu4wfOtEM1Rr8ycA,400,4,chinese,1,0.9979692
DKGUSLiqNchBNatKoPM9QQ,90,4,chinese,1,0.9939694
Aux2Mp7bGnF3S6h60ab3iQ,26,4,chinese,1,0.9914893
8FJ8XVa-duF8rPeyfscUPg,112,3.5,chinese,1,0.9891992
_XLLSXPIjgoZQtwU3RCcQA,255,4,chinese,1,0.9979692
dpCSDy9uefOEcY44FHss2Q,357,3.5,chinese,1,0.9963511
zyG1GIU3KnIZ3bOVGgJXlA,90,3.5,chinese,1,0.9891992
D13m2P0qKQUWNqIW-lpHZg,101,4,chinese,1,0.9939694
ynIx549QFj29o84y1RSGyw,349,4,chinese,1,0.9979692
3Rah-cvFk79duFQ83voQ5A,208,4,chinese,1,0.9934642
mOP2_wjgUMqELKDL1Y-U-A,399,3.5,chinese,1,0.9963511
OvdCm3j_5HzItolfvwrEUA,336,3.5,chinese,1,0.9963511
BbODF2tZuw4xW_RFwMzwRg,12,3.5,chinese,1,0.9862503
sMoKKcyUslHmHe0NmCYgfg,202,4,chinese,1,0.9934642
DOa_Hm5HHT99GOvlhbydaQ,37,4,chinese,1,0.9931392
Yb6PQ_4YQpJ0SVZ1tetkbg,104,3.5,chinese,1,0.9891992
Te2iLepC0UrJRzVKexFukQ,704,3,chinese,0,0.003722619
RoXFN-T1s6moM5smbY_5Gw,443,3,chinese,0,0.004207318
NjBgTtcJgdXKLvqYt3C8CQ,72,4,chinese,1,0.9942481
8xDbEfYXuPwi-94LLcb22A,50,4,chinese,1,0.994672
ePVlFbTzdVQFWie__kdplg,341,3.5,chinese,1,0.9963511
rkeH5HJIuX7ZcOaYNum9xA,137,3.5,chinese,1,0.9908842
yDS7SUTAe6y3BYKdepIrbg,148,3.5,chinese,1,0.9908842
sxv1oJxG8uu6u4tjKHiJMA,25,4.5,chinese,1,0.9462168
yDfgB1nvvuABZVzVjoJV7A,58,4,chinese,1,0.9942481
RYoc4EBUNOtgbg7c32OG9A,185,4.5,chinese,1,0.9582546
WIj12zDqIbBucW1hXYhrew,157,4,chinese,1,0.994914
s5JNxy0eAFgxS2Poi73ODw,52,3.5,chinese,1,0.9904522
Nt3Y26a6OMtdBe8xMMJjqQ,252,3.5,chinese,1,0.988299
np7wKWwTAhetwpXqsWpFkQ,299,4,chinese,1,0.9979692
YCen62jqSWhPOAorQjSZdQ,80,3.5,chinese,1,0.989696
EN9_LsFpY44Hkzcnu0jfIg,26,4,chinese,1,0.9914893
akWRnF0VFJLJD4uOnGWB-g,17,4,chinese,1,0.9914893
E1QQuFMX7DAEt8jV4attkA,81,3.5,chinese,1,0.989696
vSkCDRWX6VvP4PJHHFgoDw,8,4,chinese,1,0.9915976
bDsXyYwzk4I9_7l51D_gaA,130,3.5,chinese,1,0.9908842
kyJ0CtJ2Lrid_YdZWobf7w,199,3.5,chinese,1,0.988299
u0qfikB-ppp6UwoNKqxlRw,236,4,chinese,1,0.9934642
rCCZWRpuzW3FhAHN2BB1Eg,317,4,chinese,1,0.9979692
FVfQVQAcGDVFaBlrFaLkUg,18,3.5,chinese,1,0.9847874
ru9KtvY8f_b2SKrKwtS3CA,79,4,chinese,1,0.9942481
LQ6x_oaOhRrlG9i8p-Fubw,125,3.5,chinese,1,0.9908842
aQi6bKQoIZbGbMc6WvKJaw,103,4,chinese,1,0.9939694
oJjMYhA6z1_BVaQpSdyl8g,124,4,chinese,1,0.994914
U5dCWjAxrvLLMH1ErpGfvw,97,3.5,chinese,1,0.9891992
tS4aiWBYgzlqKX898jr3_w,128,4,chinese,1,0.994914
Myp2rEB3yEcdaZIRe0S3Ww,119,3.5,chinese,1,0.9891992
7VqMGK9uwi0vKqOjdKyIUA,1499,3,chinese,0,0.004479562
YigPOZxASGQX1IniEyCp8g,137,3.5,chinese,1,0.9908842
K0qsGnFv-edPDqVBdLCocQ,55,4,chinese,1,0.994672
96D85AGxI37JNnveZbC6CA,40,4,chinese,1,0.9931392
YIwYw_A_LRwK66HBTzogYQ,70,4,chinese,1,0.9942481
bGOZTD9O00OkVA1Pkt3OuQ,261,3.5,chinese,1,0.9963511
pBNMZp_tKCAfRNx7-ybcHQ,189,4.5,chinese,1,0.9582546
3W6S2wraTAj5y4Cd8eQvvw,110,4,chinese,1,0.9939694
3kq1_dUIPrA6BFTuX-M6mw,12,4.5,chinese,1,0.9512049
qH8PVeddtVs9cKN2pwgdkQ,77,3.5,chinese,1,0.989696
DH6vM_NdIN5q-xfiHnJ3mA,229,3.5,chinese,1,0.988299
3ESDUFulPVoMJdsqPQGm0A,73,3.5,chinese,1,0.989696
CesS-E8Q3ztX6VnkXO6wBg,155,3.5,chinese,1,0.9908842
_7rU61c3WTVfPS_-FNup8g,100,3.5,chinese,1,0.9891992
gxEYxWqKVhs8xBw9Lvd7hA,44,3.5,chinese,1,0.9904522
Jn7Wtek5_R12TKp2VUJuhw,135,3.5,chinese,1,0.9908842
hBbAmEYXM4L03AU9Vt_p9g,21,3.5,chinese,1,0.9847874
BcOuqkUniZJG5NLpdzeOYQ,51,3.5,chinese,1,0.9904522
02zyTkuXvbGcbA9en_20Gw,175,3.5,chinese,1,0.9908842
aije_BqBVVl-6T13QsnRqQ,156,3.5,chinese,1,0.9908842
0iqdoMOtNv6pq0lo5J4TBA,111,4,chinese,1,0.9939694
V9cBgn2RFLurwg6lwuLH7w,189,4,chinese,1,0.9934642
b2d8CP6sKQotFjzZX0Thtw,14,4,chinese,1,0.9923128
KavW0SjAiElP2ajaexNQDQ,40,4,chinese,1,0.9931392
JjzCmRn3q8JrlwHx8nFhAA,84,4,chinese,1,0.9942481
xFp3xSQ43J-i7nmJfNBsZA,365,4,chinese,1,0.9979692
#NAME?,23,4,chinese,1,0.9950667
7_Dwf153h3_waVtmfYd8QQ,181,4,chinese,1,0.9934642
7erFgHiQmw7ZJfVPmOjeeA,389,3.5,chinese,1,0.9963511
sgKNAn72O2XMQXS6AWmf9w,74,4,chinese,1,0.9942481
DpfE0gPBXj-aj2pnEh4E2Q,101,4,chinese,1,0.9939694
H89jrU17lNnguPaHbmzhAw,251,3.5,chinese,1,0.988299
MzA6gitJKqfW4VrdS7AiQw,47,4.5,chinese,1,0.9657447
bpeeh-kkay0ZE7mGXsCVKQ,112,4,chinese,1,0.9939694
3uXPkkEZbUrbk3e04aBZmQ,263,3.5,chinese,1,0.9963511
i6RhqnCJ_oUfTu5LikGXUg,8,5,chinese,0,0.1132777
ZYWwYSXWyDlVYIjPgXmIQA,36,3.5,chinese,1,0.9877205
BNHvVLzl4SQ8Da9mjIPH1A,334,4,chinese,1,0.9979692
QBhHq4eN7rtFzmDUciVL-Q,113,3.5,chinese,1,0.9891992
WzdVUuFIv1JzLPTZRnTjVA,175,4,chinese,1,0.994914
qFZuYdXy57_ydnsEFdfOxA,128,4,chinese,1,0.994914
vPbJRg5umcRMELTDsJik_A,30,3.5,chinese,1,0.9877205
4zuvAX0g_h_vBgE34oALhg,26,4,chinese,1,0.9914893
9-vKFnUby_6-pR6UJxjzMw,123,4.5,chinese,1,0.9613756
Qd4LleGL1MU7hcBYXcyVSA,27,4,chinese,1,0.9914893
C6NvtFvXo86_kEWi3qBYWQ,67,3.5,chinese,1,0.989696
bAPDGHHaLZs-XEFk7ZXGVA,139,3.5,chinese,1,0.9908842
cEkYcuYAy8V0eAqSN3IN_g,41,4.5,chinese,1,0.9562561
RoqLH-4rDugHlduthnZggg,41,4,chinese,1,0.9931392
Aeiyyowii5GBL9Y-SjTxvg,14,4,chinese,1,0.9923128
1YGpTYD8xIuUpK_beMhzSw,87,3.5,chinese,1,0.9891992
1B-lytoWyHLEG95eyM9M_Q,216,3.5,chinese,1,0.988299
Qsc2DrX3IR-uGfwnUlOzcA,42,4,chinese,1,0.9931392
LqMHxKckcnSRWrJ6T_irnw,66,3.5,chinese,1,0.989696
tfMPbnQqJ1P1RIab-o6gtg,218,3.5,chinese,1,0.988299
G4K-mNlM0oLKo8N--Ne2AA,60,3.5,chinese,1,0.989696
w0pDi_iMZd5MqYQ7t5q1dQ,43,3.5,chinese,1,0.9904522
8UlRXXPaSI383aiOiJQi5A,303,3.5,chinese,1,0.9963511
Cyv-tW4BljwWnP16HI_zAg,23,3.5,chinese,1,0.9847874
y8xZmhrp6zKnxJNtqFa_8g,28,4,chinese,1,0.9931392
vC3yBLteaaPp0ycXRtfwPA,32,3.5,chinese,1,0.9877205
VpInBiE272MaN1Hi0DA-Zw,163,4,chinese,1,0.994914
Nxxn3PfmNvEtKCn_OSwY8A,101,3.5,chinese,1,0.9891992
#NAME?,114,3.5,chinese,1,0.9937331
rCtsqHtOAOjZ7EUQDFRSbA,99,4,chinese,1,0.9939694
RBpwDqMpajBLLjMKOPrUxg,74,4,chinese,1,0.9942481
rL5F8YnQq9SY0hyece4W2w,138,3.5,chinese,1,0.9908842
2KDvMziRqVxdbgMMO8QExw,400,4,chinese,1,0.9979692
2pnhIRBUw58PpN8CQEYiZA,51,3.5,chinese,1,0.9904522
VDbMrjBq-XAKZTS_cgB9_A,51,3.5,chinese,1,0.9904522
m_PhHkyN-630ucF7r2F8EQ,166,4,chinese,1,0.994914
vkgl6UT8e7PXoVZUhxXq8w,30,3.5,chinese,1,0.9877205
pb_cHcy8D8UC-jQ-Q524ug,80,4,chinese,1,0.9942481
zb78ua-FlfFRj8v082giBw,93,3.5,chinese,1,0.9891992
zqyGYIiCXL1Hz8KVZxbylQ,135,4,chinese,1,0.994914
p0zj5z71v_LJE-dV1ZGbcg,217,3.5,chinese,1,0.988299
O1fUmxt3kbV-rnyjBtzAfw,146,4.5,chinese,1,0.9672576
BkXb82Y2OIsQ5RpNNQOYmQ,89,4,chinese,1,0.9939694
Mj4o7xAFTVm_uXTF3cZPAw,33,3.5,chinese,1,0.9877205
RLAs8M-IQfAgp551rkFNGg,74,4,chinese,1,0.9942481
2tR7d61tBGNlGaJRYvrN0Q,132,3.5,chinese,1,0.9908842
e-6UcplEErq2Hj14-eiM6Q,21,3.5,chinese,1,0.9847874
owKe1hapqCCLnme2Xr3mrA,54,3.5,chinese,1,0.9904522
HVwZqjXB39xb2wJeQBX8Gw,333,4,chinese,1,0.9979692
OQ93Z1tAmdPqK7twEEvISA,20,3.5,chinese,1,0.9847874
wjhtsakYuglCXwPaUFN4-g,47,4,chinese,1,0.994672
2VQDEQuK3xLFNktPBIpmuQ,23,4,chinese,1,0.9914893
3Qpi419I29t3sCHMzC_h-g,72,3.5,chinese,1,0.989696
yzAJOjAV7BnLZpbISHZfWg,453,3,chinese,0,0.0039938
WpfuHkTsiRN2EerQ8ZaG4g,280,4,chinese,1,0.9979692
TadRviRC9Z1WhgSsGi3Yow,75,3.5,chinese,1,0.989696
AJKcsxpc9IthvhdEnfqogg,95,3.5,chinese,1,0.9891992
XfHgiIsoo1Pr_v04bx9ptg,70,4.5,chinese,1,0.9631047
xVPTI1ytXt2PLU-strKcnw,11,4.5,chinese,1,0.9512049
PRd1P_8glLwB5cNO-hFEcw,10,4,chinese,1,0.9923128
kNOr6_g6QfBHdhf89j3g5w,287,4,chinese,1,0.9979692
a93NwZxjkPQydJxR42oPyg,12,3.5,chinese,1,0.9862503
bacGm8cL-vUPHdR18_M7bw,74,3.5,chinese,1,0.989696
fMLvqGCuPWGsK6vMKthlkg,28,3.5,chinese,1,0.9877205
7hyQqnnAisSL-nfIWCPziQ,205,3.5,chinese,1,0.988299
3gqKLANaXNsHZnPDjKrcTg,230,4.5,chinese,1,0.9582546
5TnBfeoBpxPPwIXMGBMasg,52,4,chinese,1,0.994672
7wrFd9tnIBMClzDnrWdSNw,8,4,chinese,1,0.9915976
_Ge2eC89Z-jlaDDWglfT8g,90,4.5,chinese,1,0.9613756
JTFc6V7JLTdiUL3LuH7LiQ,144,3.5,chinese,1,0.9908842
lKxmH-hQ6ezKbq4URKrd-Q,273,4,chinese,1,0.9979692
Pm9g4v6bpq9_OEigK0jHYA,7,3.5,chinese,1,0.9849796
EgBPFtixZK9VhRtFsobDxg,5,4,chinese,1,0.9915976
sXA1aTe4MVUgBpQUiISAyg,446,3,chinese,0,0.004207318
1xMyXjj0TYwsZQrrzdIAdw,357,4,chinese,1,0.9979692
Q1TpfbuPwKPFrNFyu-u2_g,84,4,chinese,1,0.9942481
_eWN3zih_cnY0fiLWva9EA,20,4.5,chinese,1,0.9462168
QlVBFWxQ-HY-O2AmqHiJxA,8,4,chinese,1,0.9915976
lDNiL1R3c0WMUI9jocJOzA,119,3.5,chinese,1,0.9891992
y8JSKjpWeQg8vzm5wovOwQ,169,3.5,chinese,1,0.9908842
u5dmxko_LFYw0sAvIA8qNA,6,4,chinese,1,0.9915976
dv-RaOwKFizDe4c5-sVJ5w,209,4,chinese,1,0.9934642
nALIXRUb7yvg8ZCS68m8iw,29,3.5,chinese,1,0.9877205
si4n0EtvAl3QisVHoKPOuw,330,3.5,chinese,1,0.9963511
HjUwZOlok1TabhS4S1ya2w,76,4.5,chinese,1,0.9631047
OQY_QgAYZhuNBsza2sl4YQ,73,3.5,chinese,1,0.989696
lFq-2FMJogdokie314E1bQ,152,3.5,chinese,1,0.9908842
J_CmfwKnzYbfRHvncl7uVA,12,4,chinese,1,0.9923128
azGPyK3p6HDmvQGX0AyDtg,235,4.5,chinese,1,0.9582546
d6i6sGHtPmyUkHze5S1lIQ,23,4.5,chinese,1,0.9462168
h4co9O0SLuvhTtr_Cs9IIQ,22,3.5,chinese,1,0.9847874
sySAZxvH4LvSGJRLmCP19A,259,4,chinese,1,0.9979692
RQi2YmAkk8g9WdNStAhfbQ,373,3.5,chinese,1,0.9963511
RffIwNrMmEf5auDVP1eURA,74,3.5,chinese,1,0.989696
TjB0wn5MyHM5rDMBCSCnfw,32,4,chinese,1,0.9931392
RCzBcrOgc2ZWzXmkdmb6QA,18,4,chinese,1,0.9914893
k8GFfCXO2FIIJIo0ICYSRA,33,4.5,chinese,1,0.9562561
_MdNLeBAcwv5Nb2yArZFvg,62,3.5,chinese,1,0.989696
tA_AoGEL_oGllbU2j77Shw,16,5,chinese,0,0.122603
DU4nwyIPdlrqW5iJmlJGmw,166,3.5,chinese,1,0.9908842
teLYg2G4VnJb5GcD3u6nVg,26,3.5,chinese,1,0.9847874
Wezt_3dALzHmfXjHOPG4GQ,19,3.5,chinese,1,0.9847874
2rSmA4IK51QAQj60YGvjnw,12,4.5,chinese,1,0.9512049
6oQKDCJrgDffPKXPTPBXlA,61,4,chinese,1,0.9942481
q3DA0poiO5h1DPu0Rfhygg,50,3.5,chinese,1,0.9904522
x3_DaW2lWCNovheuZV_nAw,42,4,chinese,1,0.9931392
Tb4aUIIy74xG9wLDEwpxdw,172,3.5,chinese,1,0.9908842
CKG7LVmSlvI93scyb1aVeg,161,3.5,chinese,1,0.9908842
ZBuUVSietNeZ0sCD7Z7Hdg,18,4,chinese,1,0.9914893
jpK6MMfLJwLXCzTeywyNNA,164,3.5,chinese,1,0.9908842
fgGRIM0b9JGIoNOAnHzROQ,23,4.5,chinese,1,0.9462168
Rp-kcJD6Dwaq0c4Kuj6aiw,49,4,chinese,1,0.994672
U9bU_xY11bu88lYZwnMVfQ,33,3.5,chinese,1,0.9877205
-n5zd4kpmJdqKzvar-5v8g,136,4,chinese,1,0.994914
WJS06XxRdc6DD1s4LWE9HA,194,4,chinese,1,0.9934642
Dh2I2jRTXE7oDCfuA9vCoQ,39,3.5,chinese,1,0.9877205
Cj1RTtW3zZF_eDqYRZBMYQ,17,3.5,chinese,1,0.9847874
3uJAt1EHG0x9pz_c91AHuQ,27,3.5,chinese,1,0.9847874
5sG_S51rleFhCKLgQpXc_g,53,3.5,chinese,1,0.9904522
etU9gCufydWxkm44Y_esyA,23,4.5,chinese,1,0.9462168
PKkCtyZQpVEzivSF41ZgIw,39,3.5,chinese,1,0.9877205
ykf5siP-2CXY3leFbeeabQ,194,4,chinese,1,0.9934642
6OWMji5GiqRlRPZSb1lJ4A,186,4,chinese,1,0.9934642
lv0qUfiaHPXKO8lfYu6R4g,28,4,chinese,1,0.9931392
#NAME?,903,4,chinese,1,0.9998664
yFub1BhKEP-W-_ZM3_nJoQ,243,4,chinese,1,0.9934642
s1uT-RIpz6X3dN-n3NeAZA,49,4,chinese,1,0.994672
4XXzwYA8Ng1pOLSov_srDg,11,3.5,chinese,1,0.9862503
3uJ-wOpTZHd4dsIjMbmYgQ,330,4,chinese,1,0.9979692
gcEMZjjqy5Ucnv_5Pv-q1g,168,4,chinese,1,0.994914
#NAME?,113,4.5,chinese,1,0.9773215
Fl2z1edJw3MONc9rERWRMg,146,4,chinese,1,0.994914
AfF4zVbVI27zwgkzOLYDFg,176,4,chinese,1,0.994914
OX2B4KARPKNTxC39wpcqDA,27,3.5,chinese,1,0.9847874
54om5q7V4anmIXw2PdNJbA,25,4,chinese,1,0.9914893
bmEBRQyX9aEOnlDwxWYaFg,1,4,chinese,1,0.9915976
wPL0epJzosoFRYox1a5lvA,67,3.5,chinese,1,0.989696
RoPrfBqmRTqw_cBqcWAfYA,127,4,chinese,1,0.994914
ayw4_D-wSCIr-xcJ3_aZ4A,30,3.5,chinese,1,0.9877205
0UkdZTf0cq7yfAiUKX2oKw,83,3.5,chinese,1,0.989696
38VMh0KbFDmy0femXXof2w,147,4,chinese,1,0.994914
sGwQYKPaMJ-tD2E4fQ0EJQ,178,4,chinese,1,0.994914
RUnj4RTVOSbbHE5zyguhrg,56,3.5,chinese,1,0.9904522
n1elkLPlnQX_PArLvuVVIg,308,3.5,chinese,1,0.9963511
U2aUFZARLeSMf4RQIxjuTw,70,4.5,chinese,1,0.9631047
4bqNfClSVoJWNJE4CmV2YQ,7,3.5,chinese,1,0.9849796
McU7XI3HoWFELTDaGc1SEw,114,4,chinese,1,0.9939694
GDqIF-JMOO-8EM3yKn25_w,14,4,chinese,1,0.9923128
3fBiB3slTfBpmf39vD7sJw,58,3.5,chinese,1,0.989696
XAeGAF5MGr7P6A13SnXbjQ,296,3.5,chinese,1,0.9963511
ZaSYdwa6ooKEYDR4SWOVzw,101,3.5,chinese,1,0.9891992
R1eZIyH8dOECfqUGGcANdQ,16,3.5,chinese,1,0.9862503
4fQuriJ0mFzzG6RE1cRV5A,28,3.5,chinese,1,0.9877205
KISxxrvjxx5qrayhcASl5w,155,4,chinese,1,0.994914
c10jv8s_MJdFFOXviSt2Ew,143,3.5,chinese,1,0.9908842
mxjv5RgkTr5qw3wjr2fXmA,133,4,chinese,1,0.994914
fBST87mwCyiYUSEADXOdSA,339,3.5,chinese,1,0.9963511
DNSFvZtdsqkaidmFSpm-Jw,139,4,chinese,1,0.994914
m2_ZNFos5ugAwe8ft8eaEw,288,4.5,chinese,1,0.9867039
8td6qiBvZ-En6gSpPjXWzQ,46,4,chinese,1,0.994672
PkA0eLD1AZ0voGAmUSG9mg,35,4,chinese,1,0.9931392
itH4GH2Mw2D5n5kkQAtMog,375,4,chinese,1,0.9979692
_haIj6t4bGOmbIl3xtihpg,177,4,chinese,1,0.994914
7rTl_d-dqlK5dGG31ogSBg,269,4,chinese,1,0.9979692
UpaSAaZCt4N0VNZvRW_o6w,63,4,chinese,1,0.9942481
5RjZCsXuWPclyrDsnsXw7w,99,4,chinese,1,0.9939694
za9mYaRVWkwKkQfjRgvU0g,242,4,chinese,1,0.9934642
I6XC8dNxUzIcIOEbq3LJsQ,10,3.5,chinese,1,0.9862503
ud5ZnsGKFsgw0KErntD2lA,96,3.5,chinese,1,0.9891992
WqxmkjSW_QtRopc0K-U4zA,30,4,chinese,1,0.9931392
VrUqSxFaaFcN7T01pCCMwQ,4,4,chinese,1,0.9915976
ziwipi8JK_ik4mLaw1fTGw,30,3.5,chinese,1,0.9877205
BP0Uujyof1WKGkLuPbTLKQ,429,3,chinese,0,0.004207318
duofsxNkSFWVre6eV1uhUQ,171,4,chinese,1,0.994914
4p5Fzyt3-mEYFKIYqZ54aA,21,4.5,chinese,1,0.9462168
f7QVr9xC8UWXdVz9QvbmNg,49,5,chinese,0,0.1681146
4-03VyMoFlXipCKh-aQcoA,33,3.5,chinese,1,0.9877205
PlCbEPF3aYLmc_EaYcYcNA,52,3.5,chinese,1,0.9904522
PUz8Zbi1KD6HPiBVkGrbnA,12,3.5,chinese,1,0.9862503
rN347NNwQ0hDSlbedzI9BQ,183,4,chinese,1,0.9934642
DjLxykRuP8OFtGtPPZpfdQ,54,4.5,chinese,1,0.9657447
5fRh0bh2HDGYb7Lsms36vQ,15,4.5,chinese,1,0.9512049
5W89QQZqPJazBS80anuu3Q,15,3.5,chinese,1,0.9862503
CaizM2WaGPX5eRLDOJaqIw,182,4.5,chinese,1,0.9582546
czQm6Ull9V6b-64amhUMyA,41,4,chinese,1,0.9931392
